Employee ID,Employee Name,Department Name,Basic Salary,Performance-based Pay,Commission,Gross Pay,Attendance Deduction,Business Deduction,Deductions Total,Social Insurance,Housing Fund,Pre-tax salary,Withholding individual income tax,Net Pay,Employee Signature,Remarks
1010101,Rice Hull 1,Sales Department,8000,1200,500,9700,200,,200,400.0,800.0,8300,69,8231.0,XXX,1.0
1010102,Rice Hull 2,Information Department,8000,1300,200,9500,201,100.0,100,400.0,800.0,8200,66,8134.0,XXX,2.0
1010103,Rice Hull 3,Finance Department,8000,1500,500,10000,202,,0,400.0,800.0,8800,84,8716.0,XXX,3.0
1010104,Rice Hull 4,Customer Service Department,8000,1100,700,9800,203,,300,400.0,800.0,8300,69,8231.0,XXX,4.0
1010105,Rice Hull 5,Human Resources Department,8000,1200,300,9500,204,200.0,200,400.0,800.0,8100,63,8037.0,XXX,5.0
1010106,Rice Hull 6,Sales Department,8000,1300,600,9900,205,,0,400.0,800.0,8700,81,8619.0,XXX,6.0
1010107,Rice Hull 7,Information Department,8000,1500,2000,11500,206,,100,400.0,800.0,10200,126,10074.0,XXX,7.0
1010108,Rice Hull 8,Finance Department,8000,1100,100,9200,207,200.0,200,400.0,800.0,7800,54,7746.0,XXX,8.0
1010109,Rice Hull 9,Customer Service Department,8000,1200,200,9400,208,,0,,,9400,102,9298.0,XXX,9.0
1010110,Rice Hull 10,Human Resources Department,8000,1300,500,9800,209,,0,,,9800,114,9686.0,XXX,10.0
1010111,Rice Hull 11,Sales Department,8000,1500,700,10200,210,,0,,,10200,126,10074.0,XXX,11.0
1010112,Rice Hull 12,Information Department,8000,1100,300,9400,211,,0,,,9400,102,9298.0,XXX,12.0
1010113,Rice Hull 13,Finance Department,8000,1200,600,9800,212,,0,,,9800,114,9686.0,XXX,13.0
1010114,Rice Hull 14,Customer Service Department,8000,1300,500,9800,213,,0,,,9800,114,9686.0,XXX,14.0
1010115,Rice Hull 15,Human Resources Department,8000,1500,700,10200,214,,0,,,10200,126,10074.0,XXX,15.0
