Date-Date,EmployeeName-EmployeeName,Productionquantity-QualifiedProductCount,Productionquantity-Defectivecount,Productionquantity-Totalquantity
2016/5/22,Zhang 1,1140,2,
2016/5/22,Zhang 2,1367,8,
2016/5/22,Zhang3,1199,10,
2016/5/22,Zhang4,1445,5,
2016/5/22,Zhang5,1175,8,
2016/5/22,Zhang 6,1395,9,
2016/5/22,Zhang7,1494,5,
2016/5/22,Zhang 8,1532,4,
2016/5/23,Zhang 1,1305,9,
2016/5/23,Zhang 2,1209,3,
2016/5/23,Zhang3,1030,10,
2016/5/23,Zhang4,1325,5,
2016/5/23,Zhang5,1425,10,
2016/5/23,Zhang 6,1296,6,
2016/5/23,Zhang7,1247,10,
2016/5/23,Zhang 8,1184,3,
2016/5/24,Zhang 1,1112,3,
2016/5/24,Zhang 2,1100,3,
2016/5/24,Zhang3,1140,6,
2016/5/24,Zhang4,1375,4,
2016/5/24,Zhang5,1288,5,
2016/5/24,Zhang 6,1166,5,
2016/5/24,Zhang7,1551,7,
2016/5/24,Zhang 8,1040,6,
2016/5/25,Zhang 1,1545,4,
2016/5/25,Zhang 2,1129,10,
2016/5/25,Zhang3,1129,9,
2016/5/25,Zhang4,1380,4,
2016/5/25,Zhang5,1269,3,
2016/5/25,Zhang 6,1572,2,
2016/5/25,Zhang7,1219,4,
2016/5/25,Zhang 8,1053,4,
2016/5/26,Zhang 1,1192,4,
2016/5/26,Zhang 2,1405,1,
2016/5/26,Zhang3,1127,7,
2016/5/26,Zhang4,1508,1,
2016/5/26,Zhang5,1208,2,
2016/5/26,Zhang 6,1518,2,
2016/5/26,Zhang7,1564,8,
2016/5/26,Zhang 8,1339,3,
2016/5/27,Zhang 1,1477,1,
2016/5/27,Zhang 2,1521,3,
2016/5/27,Zhang3,1589,3,
2016/5/27,Zhang4,1133,7,
2016/5/27,Zhang5,1350,8,
2016/5/27,Zhang 6,1120,10,
2016/5/27,Zhang7,1382,4,
2016/5/27,Zhang 8,1053,9,
2016/5/28,Zhang 1,1200,11,
2016/5/28,Zhang 2,1367,9,
2016/5/28,Zhang3,1443,5,
2016/5/28,Zhang4,1352,10,
2016/5/28,Zhang5,1134,9,
2016/5/28,Zhang 6,1203,11,
2016/5/28,Zhang7,1157,6,
2016/5/28,Zhang 8,1012,4,
2016/5/29,Zhang 1,1392,7,
2016/5/29,Zhang 2,1428,6,
2016/5/29,Zhang3,1206,6,
2016/5/29,Zhang4,1158,5,
2016/5/29,Zhang5,1188,7,
2016/5/29,Zhang 6,1519,2,
2016/5/29,Zhang7,1493,3,
2016/5/29,Zhang 8,1096,8,
