Serial Number,Employee ID,Employee Name,Department Name,Basic Salary,Performance-based Pay,Commission,Gross Pay,Attendance Deduction,Business Deduction,Deductions Total,Social Insurance,Housing Fund,Pre-tax salary,Withholding individual income tax,Employee Signature,Remarks
1,1010101,,Sales Department,8000,1200,500,9700,200.0,,200.0,400,800,8300,121,XXXX,1.0
2,1010102,Wang Fang,Information Department,8000,1300,200,9500,,100.0,100.0,400,800,8200,122,xxxx,2.0
3,1010103,Zhang Min,Finance Department,8000,1500,500,10000,,,0.0,400,800,8800,123,xxxx,3.0
4,1010104,Liu Tao,Customer Service Department,8000,1100,700,9800,300.0,,300.0,400,800,8300,124,XXXX,4.0
5,1010105,Chen Jun,Human Resources Department,8000,1200,300,9500,,200.0,200.0,400,800,8100,125,xxxx,5.0
6,1010106,Yang Yang,Sales Department,8000,1300,600,9900,,,0.0,400,800,8700,126,XXXX,6.0
7,1010107,Zhao Yong,Information Department,8000,1500,2000,11500,100.0,,100.0,400,800,10200,127,xxxx,7.0
8,1010108,Huang Jie,Finance Department,8000,1100,100,9200,,200.0,200.0,400,800,7800,128,XXXX,8.0
9,1010109,Zhou Ting,Customer Service Department,8000,1200,200,9400,960.0,,960.0,400,800,7240,129,XXXX,9.0
10,1010110,Wu Gang,Human Resources Department,8000,1300,500,9800,,521.0,521.0,400,800,8079,130,XXXX,10.0
11,1010111,Xu Feng,Sales Department,8000,1500,700,10200,455.0,,455.0,400,800,8545,131,XXXX,11.0
|2,1010112,Sun Chao,Information Department,8000,1100,300,9400,652.0,,652.0,400,800,7548,132,xxxx,12.0
3,1010113,Ma Long,Finance Department,8000,1200,600,9800,301.0,,301.0,400,800,8299,133,XXXX,13.0
4,1010114,Zhu Yan,Customer Service Department,8000,1300,500,9800,,258.0,258.0,400,800,8342,134,XXXX,14.0
5,1010115,Hu Lin,Human Resources Department,8000,1500,700,10200,,201.0,201.0,400,800,8799,135,XXXX,15.0
