EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Enteremployeename-Enteremployeename-SerialNumber-SerialNumber,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Enteremployeename-Enteremployeename-RegistrationDate-RegistrationDate,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-RaoXiaoke1-RaoXiaoke1-EmployeeNumber-EmployeeNumber,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-QueryOvertimeTimes-QueryOvertimeTimes-Name-Name,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Department-Department,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-QueryOvertimeTotalCost-QueryOvertimeTotalCost-Position-Position,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-OvertimeDuration-Start,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-OvertimeDuration-End,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-OvertimeDuration-Duration/Hours,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Category-Category,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-TotalOvertimePayTotal:-TotalOvertimePayTotal:-UnitPrice/Yuan-UnitPrice/Yuan,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-TotalOvertimePayTotal:-TotalOvertimePayTotal:-TotalOvertimeWage/Yuan-TotalOvertimeWage/Yuan,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-TotalOvertimeWage/Yuan-TotalOvertimeWage/Yuan,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Recorder-Recorder,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-EmployeeVerification-EmployeeVerification,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Explanation-Explanation,EmployeeOvertimeExpenseStatisticsTable-EmployeeOvertimeExpenseStatisticsTable-Explanation-Explanation.1
1,Year Month Day,3101,Rao Xiaoke1,xx Department,Position 1,19:00,21:00,,Workday,,,,Rice Kernel,Rao Xiaoke1,Workday Overtime,1.5 times salary
2,Year Month Day,3102,RiceShell2,xx Department,Position 2,9:00,11:00,,Workday,,,,Rice Kernel,RiceShell2,Holiday Overtime,Double the salary
3,Year Month Day,3103,Dao Xiaoke3,xx Department,Position 3,13:00,18:00,,Workday,,,,Rice Kernel,Dao Xiaoke3,Statutory Day Overtime,3 times salary
4,Year Month Day,3104,Dao Xiaoke4,xx Department,Position 4,9:00,12:00,,Workday,,,,Rice Kernel,Dao Xiaoke4,Note: The basic duration unit price is 15 yuan.,Note: The basic duration unit price is 15 yuan.
5,Year Month Day,3105,Dao Xiaoke5,xx Department,Position 5,9:00,17:00,,Public Holidays,,,,Rice Kernel,Dao Xiaoke5,Note: The basic duration unit price is 15 yuan.,Note: The basic duration unit price is 15 yuan.
6,Year Month Day,3106,Dao Xiaoke6,xx Department,Position 6,9:00,11:00,,Public Holidays,,,,Rice Kernel,Dao Xiaoke6,Record Overtime Times,Record Overtime Times
7,Year Month Day,3107,Rao Xiaoke1,xx Department,Position 1,19:00,21:00,,Workday,,,,Rice Kernel,Rao Xiaoke1,,
8,Year Month Day,3108,Dao Xiaoke8,xx Department,Position 8,19:00,21:00,,Workday,,,,Rice Kernel,Dao Xiaoke8,,
9,Year Month Day,3109,Dao Xiaoke9,xx Department,Position 9,19:00,21:00,,Legal Day,,,,Rice Kernel,Dao Xiaoke9,Register Overtime Total Duration,Register Overtime Total Duration
10,Year Month Day,3110,Dao Xiaoke 10,xx Department,Position 10,19:00,21:00,,Legal Day,,,,Rice Kernel,Dao Xiaoke 10,,
11,Year Month Day,3111,Rao Xiaoke1,xx Department,Position 1,19:00,21:00,,Legal Day,,,,Rice Kernel,Rao Xiaoke1,,
