交易账号,交易户名,证件号码,开户行,交易日期,交易时间,交易金额,交易余额,收付标志,对手账号,对手户名,对手证件号码,对手开户行,交易渠道
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43900,1,2010,27542,出,DE7ABC0638690944,赵四七,668684632187818867,工商银行山东青岛支行,757B505C
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43901,1,900,29941,出,DE7ABC0638690944,赵四七,668684632187818867,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43902,1,4000,48208,出,EDE31EF0F69DC342,冯美,98685632089608846,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43903,1,2000,50948,出,1F77C9FDBDBE78D0,曹二子,66868363316845786,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43903,1,5580,45368,出,EDE31EF0F69DC342,冯美,98685632089608846,工商银行山东青岛支行,757B505C
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43904,1,1280,74314,出,EDE31EF0F69DC342,冯美,98685632089608846,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43906,0,11640,53153,出,DE7ABC0638690944,赵四七,668684632187818867,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43906,0,37560,15593,出,C93D013DDBC17221,张七,448687631583628065,工商银行山东青岛支行,091D584F
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43906,0,7200,14640,出,DE7ABC0638690944,赵四七,668684632187818867,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43912,1,24010,34133,出,0AE69EA67F1E926F,赵艳富,458045632684606055,工商银行山东青岛支行,091D584F
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43915,1,30000,1392,出,CCAEE0954EC167B6,马五牛,448446633486838839,工商银行山东青岛支行,091D584F
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43921,0,3039,36993,出,F8462C4F382DB90F,冯花八,574045630985877108,工商银行山东青岛支行,757B505C
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43933,0,35000,9127,出,DA7834E06630CA14,冯四花,668686632486475963,工商银行山东青岛支行,091D584F
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43935,0,16549,13477,出,F8462C4F382DB90F,冯花八,574045630985877108,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43935,0,4693,8785,出,F8462C4F382DB90F,冯花八,574045630985877108,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43936,1,10162,662,出,52AB1394C1717174,根五,668686639289498859,工商银行山东青岛支行,621461AF
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43938,1,3500,36860,出,1F77C9FDBDBE78D0,曹二子,66868363316845786,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43939,0,30930,15401,出,52AB1394C1717174,根五,668686639289498859,工商银行山东青岛支行,621461AF
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43941,0,10000,5410,出,EDE31EF0F69DC342,冯美,98685632089608846,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43951,1,23800,41579,出,C9B376D6CE528EA7,张壮,668684631585874263,工商银行山东青岛支行,091D584F
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43961,0,23961,2385,出,14BEFED1370B730A,张根艳,776749630184835196,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43962,1,12623,44482,出,F8462C4F382DB90F,冯花八,574045630985877108,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43962,1,6984,37497,出,F8462C4F382DB90F,冯花八,574045630985877108,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43962,1,8600,28897,出,EDE31EF0F69DC342,冯美,98685632089608846,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43964,0,3000,25897,出,DE7ABC0638690944,赵四七,668684632187818867,工商银行山东青岛支行,E96ED478
27AC60917F5940F8,赵四霞,668682631889668045,建设银行,43964,0,54760,14137,出,DE7ABC0638690944,赵四七,668684632187818867,工商银行山东青岛支行,757B505C
