Student ID,Name,Chinese,等级,Math,等级.1,English,等级.2,Chemistry,等级.3,Physics,等级.4,Politics,等级.5,History,等级.6,Biology,等级.7,Geography,等级.8
5130301,Xiaodaokeng1,98,A,98,A,98,A,69,。,69,D,89,B,94,A,89,B,75,C
5130302,xiaodaogao2,78,C,89,B,97,A,71,C,74,C,87,B,85,B,84,B,85,B
5130303,Xiaodaokeng3,57,D,87,B,96,A,75,C,78,C,91,A,76,A,81,B,65,0
5130304,xiaodaogao4,67,D,85,B,89,B,84,B,81,B,93,A,82,B,79,A,91,A
5130305,Xiaodaogao5,81,B,93,C,87,B,88,8,83,B,88,B,91,A,81,B,93,A
5130306,xiaodaogao6,84,B,91,A,85,8,91,A,84,B,86,8,63,。,91,A,78,C
5130307,xiaodaogao7,86,B,67,D,78,C,93,A,85,B,69,D,65,。,62,D,88,8
5130308,Xiaodaogao8,79,C,73,C,86,B,75,C,88,B,71,C,91,A,65,D,93,A
5130309,Xiaodaogao9,73,C,84,B,84,B,78,C,89,B,73,C,89,B,71,C,72,C
5130310,xiaodaoguo10,91,A,81,B,76,C,81,B,91,C,75,C,85,B,93,A,67,D
