在职人员统计-工号,在职人员统计-姓名,在职人员统计-身份证号,在职人员统计-年龄,在职人员统计-妻子/丈夫,在职人员统计-家庭地址,在职人员统计-邮编,在职人员统计-电话
1185,郁丽,310110490106381,30,李华,上海市普陀区（县）甘泉街道(乡镇)南泉宛居委(村)平利路,200065,56064731
1221,李平,310107521024045,31,王小华,上海市普陀区（县）长风街道中山北路,200060,62458760
1244,徐志翠,310109540228123,32,谢金侠,上海市虹口区（县）提蓝桥街道(乡镇)西安居委(村)商丘路,200080,65359907
1291,王强,310110570206081,50,张香武,上海市杨浦区（县）殷行街道(乡镇)国和居委,200438,65244325
1343,王东,310101590926381,51,吴艳,上海市浦东新区（县）梅园街道(乡镇)松林居委(村)松林路,200120,58314756
1345,杨霞,310109591020521,52,刘占梅,上海市虹口区（县）提蓝街道(乡镇)来安居委(村)马厂路,200080,65415367
1354,仇保吕,310108600203481,53,张梅,上海市虹口区（县）新港街道(乡镇)榆兰居委(村)榆兰新村路,200086,65624238
2208,刘树东,310109540906602,40,李月,上海市虹口区（县）凉城街道(乡镇)凉四居委(村)车站北路,200434,65250498
2210,赵乐际,310109540929290,41,李月梅,陕西西安人,710000,65013662
2220,刘军,310109550131322,42,王学勤,上海市虹口区（县）新港街道(乡镇)虹关居委(村)天宝路,200082,65845914
1005,梁正永,332625100421511,43,金歌,浙江省天台县南平乡,317208,123702
1006,习近平,332625100421511,60,彭丽媛,陕西省富平县,711700,123703
1007,梁正峰,320222111202517,45,陈雪,江苏省锡山市杨市镇福山村,214154,3557949
1008,陆美星,310230120117191,46,陈丽丽,崇明县港西乡七大队,202154,59678328
1009,李强,310109540906602,65,程虹,浙江瑞安,202155,59678329
1010,王沪宁,310109540906602,88,江青,山东莱州,202156,59678330
1013,王小华,310109130806281,40,王强,上海市虹口区新港街道（乡、镇）榆兰居委（村）新港路榆兰新村,200086,6515162
1014,卢洪峰,310230140105171,41,习明泽,陕西省富平县,711700,69615536
1021,张香武,330204170314401,42,杨霞,浙江省宁波市江东区演武街,315040,7753205
1024,吴艳,310109180117361,43,仇保吕,上海市虹口区曲阳 街道（乡、镇）玉兰居委（村）大连西路,200092,65531232
1025,刘占梅,310110180413461,44,刘树东,上海市杨浦区殷行街道（乡、镇）3居委（村）市光一村,200438,65059292
1026,张美,310109180627283,45,刘素彬,上海市虹口区新港街道（乡、镇）榆兰居委（村）新港路榆兰新村弄,200086,12345678
1027,李紫,310109181121161,46,刘素彬,上海市虹口区提蓝街道（乡、镇）丹徒居委（村）唐山路,200082,65845639
1028,李克强,310109181121161,68,杨开慧,安徽定远,200083,65845640
