ItemDetailStatisticsTable-ItemDetailStatisticsTable-SerialNumber,ItemDetailStatisticsTable-ItemDetailStatisticsTable-ProjectNumber,ItemDetailStatisticsTable-ItemDetailStatisticsTable-ProjectName,ItemDetailStatisticsTable-ItemDetailStatisticsTable-ItemNumber,ItemDetailStatisticsTable-ItemDetailStatisticsTable-Salesperson,ItemDetailStatisticsTable-ItemDetailStatisticsTable-ProjectAmount,ItemDetailStatisticsTable-ItemDetailStatisticsTable-ProjectSigningDate,ItemDetailStatisticsTable-ItemDetailStatisticsTable-ProjectRequirements,ItemDetailStatisticsTable-ItemDetailStatisticsTable-PlannedCompletionDate,ItemDetailStatisticsTable-ItemDetailStatisticsTable-SalespersonEligibleCommission,ItemDetailStatisticsTable-ItemDetailStatisticsTable-5%-Commissionrate-BonusdistributionForm,ItemDetailStatisticsTable-ItemDetailStatisticsTable-PersonnelVerification,ItemDetailStatisticsTable-ItemDetailStatisticsTable-Notes,ItemDetailStatisticsTable-ItemDetailStatisticsTable,ItemDetailStatisticsTable-ItemDetailStatisticsTable-SalespersonName,ItemDetailStatisticsTable-ItemDetailStatisticsTable-NumberofItems
1,1,XM1,0801B0001,Li Xiaoxiao,90320,7/10/2021,,Date,,Alipay,Verified,,,Li Xiaoxiao,
2,2,XM2,0801B0002,Wang Xia,39404,7/11/2021,,Date,,Alipay,Verified,,,Wang Xia,
3,3,XM3,0801B0003,Zhang Guowu,84803,7/12/2021,,Date,,Alipay,Verified,,,Zhang Guowu,
4,4,XM4,0801B0004,Li Hong,284943,7/13/2021,,Date,,Alipay,Verified,,,Li Hong,
5,5,XM5,0801B0005,Li Lin,394023,7/14/2021,,Date,,Alipay,Verified,,,Li Lin,
6,6,XM6,0801B0006,Zhang Guowu,940434,7/15/2021,,Date,,Alipay,Verified,,,Wang Hao,
7,7,XM7,0801B0007,Li Hong,48924,7/16/2021,,Date,,Alipay,Verified,,,Li San,
8,8,XM8,0801B0008,Wang Xia,294044,7/17/2021,,Date,,Alipay,Verified,,,Yang Lan,
9,9,XM9,0801B0009,Zhang Guowu,384933,7/18/2021,,Date,,Alipay,Verified,,,Ren Jie,
10,10,XM10,0801B0010,Li Hong,494043,7/19/2021,,Date,,Alipay,Verified,,,Gai Lili,
11,11,XM11,0801B0011,Li Xiaoxiao,49024,7/20/2021,,Date,,Alipay,Verified,,,Wu Minhao,
12,12,XM12,0801B0012,Li Lin,40344,7/21/2021,,Date,,Alipay,Verified,,,Wang Xiang,
13,13,XM13,0801B0013,Wang Hao,89404,7/22/2021,,Date,,Alipay,Verified,,,,
14,14,XM14,0801B0014,Li San,30444,7/23/2021,,Date,,Alipay,Verified,,,,
15,15,XM15,0801B0015,Yang Lan,294044,7/24/2021,,Date,,Alipay,Verified,,,Total Project Amount Statistics on This Page,Total Project Amount Statistics on This Page
16,16,XM16,0801B0016,Ren Jie,394044,7/25/2021,,Date,,Alipay,Verified,,,,
17,17,XM17,0801B0017,Gai Lili,494043,7/26/2021,,Date,,Alipay,Verified,,,,
18,18,XM18,0801B0018,Zhang Guowu,490033,7/27/2021,,Date,,Alipay,Verified,,,,
19,19,XM19,0801B0019,Wu Minhao,403940,7/28/2021,,Date,,Alipay,Verified,,,,
20,20,XM20,0801B0020,Wang Xiang,300203,7/29/2021,,Date,,Alipay,Verified,,,,
